assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
1306343,17026,Phocarctos hookeri,ANIMALIA,CHORDATA,CARNIVORA,MAMMALIA,OTARIIDAE,Phocarctos,hookeri,,,,"(Gray, 1844)",Endangered,A4bd,3.1,Decreasing,Global
9775825,3339,Burramys parvus,ANIMALIA,CHORDATA,DIPROTODONTIA,MAMMALIA,BURRAMYIDAE,Burramys,parvus,,,,"Broom, 1896",Critically Endangered,"B1ab(iii,v)+2ab(iii,v)",3.1,Decreasing,Global
10051312,3748,Canis simensis,ANIMALIA,CHORDATA,CARNIVORA,MAMMALIA,CANIDAE,Canis,simensis,,,,"Rüppell, 1840",Endangered,"B1ab(iii,v); C1+2a(i); D",3.1,Decreasing,Global
10331066,40540,Sarcophilus harrisii,ANIMALIA,CHORDATA,DASYUROMORPHIA,MAMMALIA,DASYURIDAE,Sarcophilus,harrisii,,,,"(Boitard, 1841)",Endangered,A2be+3e,3.1,Decreasing,Global
13026736,9917,Nilgiritragus hylocrius,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,BOVIDAE,Nilgiritragus,hylocrius,,,,"(Ogilby, 1838)",Endangered,C2a(i),3.1,Decreasing,Global
16971464,16971461,Microcebus gerpi,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,CHEIROGALEIDAE,Microcebus,gerpi,,,,"Radespiel, Ratsimbazafy, Rasoloharijaona, Raveloson, Andriaholinirina, Rakotondravony, Randrianarison  &amp; Randrianambinina, 2012",Critically Endangered,"B1ab(i,ii,iii)+2ab(i,ii,iii)",3.1,Decreasing,Global
17926000,914,Alouatta pigra,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,ATELIDAE,Alouatta,pigra,,,,"Lawrence, 1933",Endangered,A4cd,3.1,Decreasing,Global
17929680,39961,Ateles hybridus,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,ATELIDAE,Ateles,hybridus,,,,"I. Geoffroy Saint-Hilaire, 1829",Critically Endangered,A4cd,3.1,Decreasing,Global
17935400,11505,Leontopithecus chrysopygus,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,CALLITRICHIDAE,Leontopithecus,chrysopygus,,,,"(Mikan, 1823)",Endangered,A3ce,3.1,Decreasing,Global
17940474,19839,Saimiri vanzolinii,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,CEBIDAE,Saimiri,vanzolinii,,,,"Ayres, 1985",Endangered,A3c; B1ab(iii),3.1,Decreasing,Global
17940807,19836,Saimiri oerstedii,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,CEBIDAE,Saimiri,oerstedii,,,,"(Reinhardt, 1872)",Endangered,A2cd,3.1,Decreasing,Global
17941247,39826,Pygathrix nemaeus,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,CERCOPITHECIDAE,Pygathrix,nemaeus,,,,"(Linnaeus, 1771)",Critically Endangered,A2acd+3cd,3.1,Decreasing,Global
17941672,39827,Pygathrix cinerea,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,CERCOPITHECIDAE,Pygathrix,cinerea,,,,"Nadler, 1997",Critically Endangered,A2acd+3cd,3.1,Decreasing,Global
17943210,39833,Semnopithecus ajax,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,CERCOPITHECIDAE,Semnopithecus,ajax,,,,"(Pocock, 1928)",Endangered,C2a(i),3.1,Decreasing,Global
17943490,13508501,Rhinopithecus strykeri,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,CERCOPITHECIDAE,Rhinopithecus,strykeri,,,,"Geissmann, Ngwe Lwin, Saw Soe Aung, Thet Naing Aung, Zin Myo Aung, Tony Htin Hla, Grindley &amp; Momberg, 2011",Critically Endangered,A4cd,3.1,Decreasing,Global
17943738,19597,Rhinopithecus bieti,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,CERCOPITHECIDAE,Rhinopithecus,bieti,,,,"Milne-Edwards, 1897",Endangered,C2a(i),3.1,Stable,Global
17944213,19594,Rhinopithecus avunculus,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,CERCOPITHECIDAE,Rhinopithecus,avunculus,,,,"(Dollman, 1912)",Critically Endangered,A2acd+3cd; C1+2a(i),3.1,Decreasing,Global
17944855,5144,Colobus polykomos,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,CERCOPITHECIDAE,Colobus,polykomos,,,,"(E.A.W. Zimmermann, 1780)",Endangered,A2bcd,3.1,Decreasing,Global
17945814,4229,Cercopithecus sclateri,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,CERCOPITHECIDAE,Cercopithecus,sclateri,,,,"Pocock, 1904",Endangered,A2cd,3.1,Decreasing,Global
17946182,4217,Cercopithecus erythrogaster,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,CERCOPITHECIDAE,Cercopithecus,erythrogaster,,,,"Gray, 1866",Endangered,A2cd+4cd,3.1,Decreasing,Global
17948833,136569,Macaca munzala,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,CERCOPITHECIDAE,Macaca,munzala,,,,"Madhusudan &amp; Mishra, 2005",Endangered,"B1ab(iii,v)",3.1,Decreasing,Global
17949710,39795,Macaca siberu,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,CERCOPITHECIDAE,Macaca,siberu,,,,"Fuentes &amp; Olson, 1995",Endangered,A2acd+4acd,3.1,Decreasing,Global
17949995,39794,Macaca pagensis,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,CERCOPITHECIDAE,Macaca,pagensis,,,,"(Miller, 1903)",Critically Endangered,A2acd+4acd,3.1,Decreasing,Global
17950422,12556,Macaca nigra,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,CERCOPITHECIDAE,Macaca,nigra,,,,"(Desmarest, 1822)",Critically Endangered,A2cd,3.1,Decreasing,Global
17951229,12560,Macaca sinica,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,CERCOPITHECIDAE,Macaca,sinica,,,,"(Linneaus, 1771)",Endangered,A2cd+4cd,3.1,Decreasing,Global
17951402,12559,Macaca silenus,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,CERCOPITHECIDAE,Macaca,silenus,,,,"(Linnaeus, 1758)",Endangered,C2a(i),3.1,Decreasing,Global
17952490,12753,Mandrillus leucophaeus,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,CERCOPITHECIDAE,Mandrillus,leucophaeus,,,,"(F. Cuvier, 1807)",Endangered,A2cd,3.1,Decreasing,Global
