internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
17026,Phocarctos hookeri,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,OTARIIDAE,Phocarctos,hookeri,,,,,"(Gray, 1844)",The taxonomy of sea lions in New Zealand (Phocarctos) and Australia (Neophoca) was confused until it was resolved in a paper by King (1960).
3339,Burramys parvus,ANIMALIA,CHORDATA,MAMMALIA,DIPROTODONTIA,BURRAMYIDAE,Burramys,parvus,,,,,"Broom, 1896",""
3748,Canis simensis,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,CANIDAE,Canis,simensis,,,,,"Rüppell, 1840",""
40540,Sarcophilus harrisii,ANIMALIA,CHORDATA,MAMMALIA,DASYUROMORPHIA,DASYURIDAE,Sarcophilus,harrisii,,,,,"(Boitard, 1841)","Sarcophilus laniarius has also been used recently in light of comparisons between a fossil specimen, S. laniarius (named prior to the naming of S. harrisii), and the extant species (Werdelin 1987)."
9917,Nilgiritragus hylocrius,ANIMALIA,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Nilgiritragus,hylocrius,,,,,"(Ogilby, 1838)","The Nilgiri Tahr was first described by Gray from a drawing and notes of General Hardwicke, and they were said to have been sent from Nepal and from Chittagong. However, it has hitherto only been found on the Neelgherry and adjacent hills, extending south along the Western Ghats nearly to Cape Comorin. The specific name given by Gray was the Tamul, word for rock or precipice goat. It was called Ibex by sportsmen in Madras (Jerdon, 1874).  Later, Rice, (1984) provided a detailed description on the taxonomic history of Tahr. The Nilgiri Tahr was first named Kemas hylocrius by (Ogilby, 1838). Based on molecular phylogenetic analysis, Ropiquet and Hassanin (2005) proposed the name Nilgiritragus hylocrius for the species as it is claimed that the three species of Tahr (Himalayan, Arabian and Nilgiri) have had different lineages.We follow Ropiquet and Hassanin (2005)in removing this species from the genus Hemitragus, and placing it in the monotypic genus Nilgiritragus, based on analyses of four molecular markers. No subspecies are recognized."
16971461,Microcebus gerpi,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,CHEIROGALEIDAE,Microcebus,gerpi,,,,,"Radespiel, Ratsimbazafy, Rasoloharijaona, Raveloson, Andriaholinirina, Rakotondravony, Randrianarison  &amp; Randrianambinina, 2012",""
914,Alouatta pigra,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,ATELIDAE,Alouatta,pigra,,,,,"Lawrence, 1933","Lawrance (1933) originally recognized the howlers from Belize, north and eastern Guatemala and the Yucatán Peninsula in Mexico, as to distinct taxa, within Aloutta palliata (A. p. pigra and A. p. luctuosa). Regarding A. p. pigra she mentioned “The differences, however, are so definite that they unquestionably indicate a separate subspecies; indeed, if it were not for the form found at Mountain Cow [A. p. luctuosa] which seems to be intermediate between this and typical A. p. palliata, one might be justified in calling it a distinct species” (Lawrance 1933, p. 334). Smith (1970) analysed pelage coloration patterns, and cranial and dental features of 238 specimens from across the range of A. palliata (including those studied by Lawrence, 1933) and compared them with a population sample of two sympatric forms of howler monkeys from the state of Tabasco, Mexico. He determined that the two (partially sympatric) forms from his sample constituted two well-differentiated species, and thus recommended A. pigra to be considered full species and separated from A. palliata. He considered A. p. luctuosa Lawrence, 1933 as junior synonym of A. pigra. Most authors have considered A. pigra as the single species of Black howler in Central America (e.g., Groves 2001, 2005; Rylands et al. 2006). Napier (1976) discussed that A. pigra was in fact A. villosa (Gray 1845), and Brandon-Jones (2006) argued that Alouatta pigra Lawrence, 1933 is a junior synonym. However, due to the poor condition of the type specimen of A. villosa, the lack of compelling evidence (genetic or otherwise) to ensure that this is in fact the same taxon as A. pigra, and in pro of taxonomic stability, Cortés-Ortiz et al. (2015a) continue to call this taxon A. pigra until further studies are completed. Using mtDNA markers, Cortés-Ortiz et al. (2003) confirmed that A. palliata and A. pigra comprise reciprocally monophyletic groups, justifying their separation into distinct species. Nonetheless, as pointed out by Cortés-Ortiz et al. (2015a) “the validity of A. pigra luctuosa from the Cayo District in Belize has yet to be evaluated with genetic data.”"
39961,Ateles hybridus,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,ATELIDAE,Ateles,hybridus,,,,,"I. Geoffroy Saint-Hilaire, 1829","The taxonomy of spider monkeys (Ateles spp.) is based on Kellogg and Goldman´s (1944) seminal review, and more recently complemented by morphological and molecular analysis of Froehlich et al. (1991), Collins and Dubach (2000), Nieves et al. (2005) and Morales-Jimenez et al. (2015). In all studies, brown spider monkeys (Ateles hybridus I. Geoffroy, 1829) form a monophyletic clade, justifying full species status following the molecular studies conducted by Collins (1999) and Collins and Dubach (2000). These studies found that brown spider monkeys form an ancient clade within the spider monkeys, separated from white-bellied spider monkeys (Ateles belzebuth) approximately 3 mya. This classification was reinforced by Nieves et al. (2005) using chromosomal and molecular markers. Hernández-Camacho and Defler (1989) and Defler (2004) argued for the validity of two distinct forms: brunneus Gray, 1872 from the western bank of the Magdalena River, and hybridus from the eastern bank of the Magdalena River in Colombia and Venezuela. Nonetheless, recent molecular studies using two mitochondrial markers suggest that there has been substantial gene flow between both populations and that both taxa do not represent monophyletic clades (Link et al. 2015). Thus, brown spider monkeys are currently considered a single taxon without subspecific divisions."
11505,Leontopithecus chrysopygus,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,CALLITRICHIDAE,Leontopithecus,chrysopygus,,,,,"(Mikan, 1823)","The lion tamarins, Leontopithecus spp., are listed as separate species following Della Serra (1951), Rosenberger and Coimbra-Filho (1984), Snowdon et al. (1986), Mittermeier et al. (1988), Natori (1989) and Rylands et al. (1993). Leontopithecus chrysopygus and L. chrysomelas have been listed as subspecies of L. rosalia by Coimbra-Filho (1969), Coimbra-Filho and Mittermeier (1972, 1973), Hershkovitz (1977), Mittermeier and Coimbra-Filho (1981), Forman et al. (1986) and Seuánez et al. (1988), the latter two publications on the basis of identical chromosome morphologies. Coimbra-Filho (1990) has suggested that L. caissara was a subspecies of L. chrysopygus, which was not supported neither morphologically (Burity et al. 1999) nor molecularly (Perez-Sweeney et al. 2008). A molecular phylogeny recovered three obvious clades: L. chrysomelas, L. caissara and L. chrysopygus / L. rosalia, where L. chrysomelas is the first to diverge from the other three (Perez-Sweeney et al. 2008). Here we follow the taxonomy proposed by Rylands (2012)."
19839,Saimiri vanzolinii,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,CEBIDAE,Saimiri,vanzolinii,,,,,"Ayres, 1985","Saimiri vanzolinii Ayres 1985 was described based on 13 specimens collected at the confluence of the Solimões and Japurá rivers and deposited in the Museum of Zoology at the University of São Paulo. The type locality is the northern shore of Lake Mamirauá, Amazonas, Brazil. Ayres (1985) allocated S. vanzolinii in the species group ""Saimiri boliviensis"" (Roman group), based on the taxonomic arrangement of Hershkovitz (1984). Saimiri vanzolinii was referred by Hershkovitz (1987) as a subspecies of S. boliviensis. Although no specimen was examined, Costello et al. (1993), based on the data described by Ayres (1985), considered S. vanzolinii as a junior synonym of S. sciureus. All subsequent authors followed Ayres (1985), considering S. vanzolinii as a valid species. Lynch Alfaro et al. (2015) analysed biogeographical and mitochondrial molecular data for the genus and concluded that S. vanzolinii is a valid species. More recently, Mercês (2018) performed an extensive morphological review of museum specimens of Saimiri species from throughout the Amazon basin; she also employed RAD-seq to sequence nuclear genomic markers to construct a Saimiri phylogeny. The nuclear genetic and morphological analyses by Mercês (2018) both provide strong evidence to place Saimiri vanzolinii as a distinct taxon and the sister species to Saimiri boliviensis. "
