internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
17026,Phocarctos hookeri,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,OTARIIDAE,Phocarctos,hookeri,,,,,"(Gray, 1844)",<p>The taxonomy of sea lions in New Zealand (<em>Phocarctos</em>) and Australia (<em>Neophoca</em>) was confused until it was resolved in a paper by King (1960).<br/></p>
3339,Burramys parvus,ANIMALIA,CHORDATA,MAMMALIA,DIPROTODONTIA,BURRAMYIDAE,Burramys,parvus,,,,,"Broom, 1896",
3748,Canis simensis,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,CANIDAE,Canis,simensis,,,,,"Rüppell, 1840",
40540,Sarcophilus harrisii,ANIMALIA,CHORDATA,MAMMALIA,DASYUROMORPHIA,DASYURIDAE,Sarcophilus,harrisii,,,,,"(Boitard, 1841)","<em>Sarcophilus laniarius</em> has also been used recently in light of comparisons between a fossil specimen, <em>S. laniarius</em> (named prior to the naming of <em>S. harrisii</em>), and the extant species (Werdelin 1987)."
9917,Nilgiritragus hylocrius,ANIMALIA,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Nilgiritragus,hylocrius,,,,,"(Ogilby, 1838)","<p>The Nilgiri Tahr was first described by Gray from a drawing and notes of General Hardwicke, and they were said to have been sent from Nepal and from Chittagong. However, it has hitherto only been found on the Neelgherry and adjacent hills, extending south along the Western Ghats nearly to Cape Comorin.&#160;The specific name given by Gray was the <em>Tamul,</em> word for rock or precipice goat. It was called Ibex by sportsmen in Madras (Jerdon, 1874).&#160; Later, Rice, (1984) provided a detailed description on the taxonomic history of Tahr. The Nilgiri Tahr was first named <em>Kemas hylocrius </em>by (Ogilby, 1838). Based on molecular phylogenetic analysis, Ropiquet and Hassanin (2005) proposed the name <em>Nilgiritragus hylocrius</em> for the species as it is claimed that the three species of Tahr (Himalayan, Arabian and Nilgiri) have had different lineages.<br/><br/>We follow Ropiquet and Hassanin (2005)in removing this species from the genus <em>Hemitragus</em>, and placing it in the monotypic genus <em>Nilgiritragus</em>, based on analyses of four molecular markers. No subspecies are recognized.</p>"
16971461,Microcebus gerpi,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,CHEIROGALEIDAE,Microcebus,gerpi,,,,,"Radespiel, Ratsimbazafy, Rasoloharijaona, Raveloson, Andriaholinirina, Rakotondravony, Randrianarison  &amp; Randrianambinina, 2012",
914,Alouatta pigra,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,ATELIDAE,Alouatta,pigra,,,,,"Lawrence, 1933","Lawrance (1933) originally recognized the howlers from Belize, north and eastern Guatemala and the Yucatán Peninsula in Mexico, as to distinct taxa, within<em> Aloutta palliata</em> (<em>A. p. pigra</em> and <em>A. p. luctuosa</em>). Regarding <em>A. p. pigra</em> she mentioned “The differences, however, are so definite that they unquestionably indicate a separate subspecies; indeed, if it were not for the form found at Mountain Cow [<em>A. p. luctuosa</em>] which seems to be intermediate between this and typical <em>A. p. palliata</em>, one might be justified in calling it a distinct species” (Lawrance 1933, p. 334). Smith (1970) analysed pelage coloration patterns, and cranial and dental features of 238 specimens from across the range of <em>A. palliata</em> (including those studied by Lawrence, 1933) and compared them with a population sample of two sympatric forms of howler monkeys from the state of Tabasco, Mexico. He determined that the two (partially sympatric) forms from his sample constituted two well-differentiated species, and thus recommended <em>A. pigra</em> to be considered full species and separated from <em>A. palliata</em>. He considered <em>A. p. luctuosa</em> Lawrence, 1933 as junior synonym of <em>A. pigra</em>. Most authors have considered <em>A. pigra</em> as the single species of Black howler in Central America (e.g., Groves 2001, 2005; Rylands <em>et al</em>. 2006). Napier (1976) discussed that <em>A. pigra </em>was in fact <em>A. villosa</em> (Gray 1845), and Brandon-Jones (2006) argued that <em>Alouatta pigra</em> Lawrence, 1933 is a junior synonym. However, due to the poor condition of the type specimen of <em>A. villosa</em>, the lack of compelling evidence (genetic or otherwise) to ensure that this is in fact the same taxon as<em> A. pigra</em>, and in pro of taxonomic stability, Cortés-Ortiz <em>et al</em>. (2015a) continue to call this taxon <em>A. pigra</em> until further studies are completed. Using mtDNA markers, Cortés-Ortiz <em>et al</em>. (2003) confirmed that<em> A. palliata</em> and <em>A. pigra</em> comprise reciprocally monophyletic groups, justifying their separation into distinct species. Nonetheless, as pointed out by Cortés-Ortiz <em>et al.</em> (2015a) “the validity of <em>A. pigra luctuosa</em> from the Cayo District in Belize has yet to be evaluated with genetic data.”"
39961,Ateles hybridus,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,ATELIDAE,Ateles,hybridus,,,,,"I. Geoffroy Saint-Hilaire, 1829","The taxonomy of spider monkeys (<em>Ateles </em>spp.) is based on Kellogg and Goldman´s (1944) seminal review, and more recently complemented by morphological and molecular analysis of Froehlich <em>et al.</em> (1991), Collins and Dubach (2000), Nieves <em>et al.</em> (2005) and Morales-Jimenez <em>et al. </em>(2015). In all studies, brown spider monkeys (<em>Ateles hybridus </em>I. Geoffroy, 1829) form a monophyletic clade, justifying full species status following the molecular studies conducted by Collins (1999) and Collins and Dubach (2000). These studies found that brown spider monkeys form an ancient clade within the spider monkeys, separated from white-bellied spider monkeys (<em>Ateles belzebuth</em>) approximately 3 mya. This classification was reinforced by Nieves <em>et al.</em> (2005) using chromosomal and molecular markers. Hernández-Camacho and Defler (1989) and Defler (2004) argued for the validity of two distinct forms: <em>brunneus</em> Gray, 1872 from the western bank of the Magdalena River, and <em>hybridus</em> from the eastern bank of the Magdalena River in Colombia and Venezuela. Nonetheless, recent molecular studies using two mitochondrial markers suggest that there has been substantial gene flow between both populations and that both taxa do not represent monophyletic clades (Link <em>et al.</em> 2015). Thus, brown spider monkeys are currently considered a single taxon without subspecific divisions."
11505,Leontopithecus chrysopygus,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,CALLITRICHIDAE,Leontopithecus,chrysopygus,,,,,"(Mikan, 1823)","The lion tamarins, <em>Leontopithecus </em>spp., are listed as separate species following Della Serra (1951), Rosenberger and Coimbra-Filho (1984), Snowdon <em>et al. </em>(1986), Mittermeier <em>et al</em>. (1988), Natori (1989) and Rylands <em>et al</em>. (1993). <em>Leontopithecus chrysopygus </em>and <em>L</em>. <em>chrysomelas </em>have been listed as subspecies of <em>L. rosalia</em> by Coimbra-Filho (1969), Coimbra-Filho and Mittermeier (1972, 1973), Hershkovitz (1977), Mittermeier and Coimbra-Filho (1981), Forman <em>et al.</em> (1986) and Seuánez <em>et al</em>. (1988), the latter two publications on the basis of identical chromosome morphologies. Coimbra-Filho (1990) has suggested that <em>L. caissara</em> was a subspecies of <em>L. chrysopygus</em>, which was not supported neither morphologically (Burity <em>et al</em>. 1999) nor molecularly (Perez-Sweeney <em>et al.</em> 2008). A molecular phylogeny recovered three obvious clades: <em>L. chrysomelas</em>, <em>L. caissara</em> and<em> L. chrysopygus</em> /<em> L. rosalia</em>, where<em> L. chrysomelas</em> is the first to diverge from the other three (Perez-Sweeney <em>et al.</em> 2008). Here we follow the taxonomy proposed by Rylands (2012)."
19839,Saimiri vanzolinii,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,CEBIDAE,Saimiri,vanzolinii,,,,,"Ayres, 1985","<em>Saimiri vanzolinii </em>Ayres 1985 was described based on 13 specimens collected at the confluence of the Solimões and Japurá rivers and deposited in the Museum of Zoology at the University of São Paulo. The type locality is the northern shore of Lake Mamirauá, Amazonas, Brazil. Ayres (1985) allocated <em>S. vanzolinii </em>in the species group ""<em>Saimiri boliviensis</em>"" (Roman group), based on the taxonomic arrangement of Hershkovitz (1984). <em>Saimiri vanzolinii </em>was referred by Hershkovitz (1987) as a subspecies of <em>S. boliviensis</em>. Although no specimen was examined, Costello <em>et al</em>. (1993), based on the data described by Ayres (1985), considered <em>S. vanzolinii</em> as a junior synonym of <em>S. sciureus</em>. All subsequent authors followed Ayres (1985), considering <em>S. vanzolinii </em>as a valid species. Lynch Alfaro <em>et al</em>. (2015) analysed biogeographical and mitochondrial molecular data for the genus and concluded that <em>S. vanzolinii</em> is a valid species. More recently, Mercês (2018) performed an extensive morphological review of museum specimens of <em>Saimiri </em>species from throughout the Amazon basin; she also employed RAD-seq to sequence nuclear genomic markers to construct a <em>Saimiri </em>phylogeny. The nuclear genetic and morphological analyses by Mercês (2018) both provide strong evidence to place <em>Saimiri vanzolinii </em>as a distinct taxon and the sister species to <em>Saimiri boliviensis</em>.&#160; <em><br/></em>"
