internalTaxonId,scientificName,name,language,main
151697,Eriosyce esmeraldana,Esmeraldano,Spanish; Castilian,true
151923,Pediocactus paradinei,Kaibab Pediocactus,English,false
151923,Pediocactus paradinei,Kaibab Plains Cactus,English,false
151923,Pediocactus paradinei,Park Hedgehog Cactus,English,false
151923,Pediocactus paradinei,Park Pincushion-cactus,English,true
151924,Eriosyce chilensis,Chilenito,Spanish; Castilian,true
152163,Leptocereus leonii,Pitahaya,Spanish; Castilian,true
152170,Melocactus matanzanus,Erizo,Spanish; Castilian,false
152170,Melocactus matanzanus,Dwarf Turk's Cap Cactus,English,true
152215,Echinocereus chisosensis,Chisos Mountain Hedgehog Cactus,English,true
152249,Eriosyce simulans,simulador,Spanish; Castilian,true
152273,Dendrocereus nudiflorus,Aguacate cimarrón,Spanish; Castilian,true
152417,Cylindropuntia hystrix,Patana,Spanish; Castilian,true
152459,Echinopsis bolligeriana,Quisco de los Acantilados,Spanish; Castilian,true
152484,Sclerocactus nyensis,Nye County Fish-hook Cactus,English,true
152487,Echinopsis coquimbana,Quisco Coquimbano,Spanish; Castilian,true
152496,Eriosyce occulta,Cacto Oculto,Spanish; Castilian,true
152555,Eriosyce iquiquensis,Iquiqueño,Spanish; Castilian,true
152575,Mammillaria capensis,Viejito,Spanish; Castilian,true
152598,Stenocereus chacalapensis,Pitayo gigante,Spanish; Castilian,true
152653,Escobaria cubensis,Cactus enano,Spanish; Castilian,false
152653,Escobaria cubensis,Holguín Dwarf Cactus,English,true
152749,Echinocereus schmollii,Cola de Borrego,Spanish; Castilian,false
152749,Echinocereus schmollii,Organito de Víbora,Spanish; Castilian,false
152749,Echinocereus schmollii,Pitayita,Spanish; Castilian,false
152749,Echinocereus schmollii,Lamb's Tail Cactus,English,true
152769,Selenicereus atropilosus,Pitayita Nocturna,Spanish; Castilian,true
152889,Pilosocereus ulei,Cabeça de velho,Portuguese,true
152930,Austrocactus spiniflorus,Espinifloro,Spanish; Castilian,true
159126,Nepenthes attenboroughii,Pitchel-pitchel,Tagalog,false
159126,Nepenthes attenboroughii,Pituyut,Philippine (Other),false
159126,Nepenthes attenboroughii,Attenborough's Pitcher Plant,English,true
163968,Primula boveana,Hekp Elqualah,Arabic,false
163968,Primula boveana,Khass El-Gabal,Arabic,false
163968,Primula boveana,Sahseeh,Arabic,false
163968,Primula boveana,Sinai Primrose,English,true
164069,Teucrium aristatum,Camedrio,Italian,false
164069,Teucrium aristatum,Germandrée Aristée,French,false
164069,Teucrium aristatum,Germandrée de Crau,French,false
164279,Juncus tingitanus,Giunco di Tangeri,Italian,false
164279,Juncus tingitanus,Jonc de Tanger,French,true
164444,Callitriche pulchra,Beautiful water-starwort,English,true
165121,Lycopodium madeirense,Madeira Clubmoss,English,true
165452,Crypsis minuartioides,Compressed Pricklegrass,English,true
165457,Iris grant-duffii,Jaffa Iris,English,false
165457,Iris grant-duffii,אירוס הביצות,Hebrew,false
165457,Iris grant-duffii,Grant Duff's Iris,English,true
170431,Vigna desmodioides,Ilenabulere,English,true
170447,Vigna laurentii,Umukaloko,French,true
173427,Diospyros whitfordii,Mahuyan,Cebuano,false
173427,Diospyros whitfordii,Kamagong,Philippine (Other),true
173434,Diospyros brideliifolia,Malinoag,Filipino; Pilipino,true
173462,Diospyros filipes,Farofoke,Malagasy,true
173480,Diospyros borbonica,Bois d’ébène,French,false
173480,Diospyros borbonica,Bois noir des Hauts,French,true
173486,Diospyros longiciliata,Itom-itom,Filipino; Pilipino,true
173504,Diospyros bemarivensis,Hazomafana,Malagasy,false
173504,Diospyros bemarivensis,Maintifototsy,Malagasy,false
173504,Diospyros bemarivensis,Maintipotaka,Malagasy,false
173504,Diospyros bemarivensis,Maintipototra,Malagasy,false
173504,Diospyros bemarivensis,Joboampototra,Malagasy,true
173545,Diospyros diversifolia,Bois d'Ebène de Rodrigues,Creoles and pidgins (Other),true
173566,Diospyros subacuta,Hazomafana,Malagasy,true
173629,Diospyros tampinensis,Hazomainty,Malagasy,false
173629,Diospyros tampinensis,Hazomafana,Malagasy,true
173647,Diospyros sandwicensis,Ēlama,Hawaiian,false
173647,Diospyros sandwicensis,Lama,Hawaiian,true
173656,Diospyros stenocarpa,Maba,Malagasy,false
173656,Diospyros stenocarpa,Maintiampototra,Malagasy,false
173656,Diospyros stenocarpa,Hazomainty,Malagasy,true
173667,Diospyros analamerensis,Mapingo,Malagasy,true
173706,Diospyros poncei,Balingagta,Filipino; Pilipino,false
173706,Diospyros poncei,Kamagong ponce,Filipino; Pilipino,true
173721,Diospyros multibracteata,Surot-kurot,Philippine (Other),false
173721,Diospyros multibracteata,Mospos,Tagalog,true
173746,Diospyros bezofensis,Hazomainty,Malagasy,false
173746,Diospyros bezofensis,Hazomafana,Malagasy,true
173751,Diospyros hillebrandii,Ēlama,Hawaiian,false
173751,Diospyros hillebrandii,Lama,Hawaiian,true
173776,Diospyros phlebodes,Kailoa,Undetermined,false
173776,Diospyros phlebodes,Sisitika,Undetermined,true
173789,Diospyros pervillei,Marajeby,Malagasy,true
173828,Diospyros calcicola,Kanumay,Philippine (Other),true
173833,Diospyros subfalciformis,Ledoledo,Malagasy,true
173847,Diospyros thouarsii,Hazomainty,Malagasy,true
173855,Diospyros bambuseti,Boon (Surat Thani),Thai,false
173855,Diospyros bambuseti,Maklua Aran (Sa Kaeo),Thai,true
173863,Diospyros quercina,Mentifó,Malagasy,false
173863,Diospyros quercina,Hazomity beravina,Malagasy,true
173939,Diospyros decaryana,Hazominty,Malagasy,false
173939,Diospyros decaryana,Matrambody,Malagasy,true
173990,Diospyros sclerophylla,Hazomainty,Malagasy,true
175212,Semecarpus kathalekanensis,Dadde Ele Holegara,Kannada,false
175212,Semecarpus kathalekanensis,Kathalekan Marsh Nut,English,true
175221,Syzygium rama-varmae,Mani Kiluki,Tamil,false
175221,Syzygium rama-varmae,Kattuchampa,Malayalam,true
177602,Heterospathe phillipsii,Phillips' Palm,English,true
177604,Metroxylon vitiense,Soga,Fijian,false
177604,Metroxylon vitiense,Fiji Sago Palm,English,true
179277,Eragrostis perbella,Mkonge-Mwitu,Swahili,true
179345,Premna gracillima,Small-leaved Skunkbush,English,true
181378,Sclerocactus brevispinus,Pariette Cactus,English,true
187825,Ceratozamia chimalapensis,Mazacopa,Uncoded languages,false
187839,Zamia lindenii,Palma de Goma,Spanish; Castilian,true
191225,Heptapleurum schizophyllum,Mue Phra Narai,Thai,false
191225,Heptapleurum schizophyllum,Mue Chaek,Thai,true
191231,Trevesia lateospina,Tang Chep (ต้างเจ็บ),Thai,false
191231,Trevesia lateospina,Tang (ต้าง),Thai,true
191320,Aquilaria rugosa,Kitsana doi,Thai,false
191320,Aquilaria rugosa,Mountain Agarwood,English,true
191333,Caryota kiriwongensis,Tao Rang Yak (เต่าร้างยักษ์),Thai,false
191333,Caryota kiriwongensis,Tao Rang Yak Tai (เต่าร้างยักษ์ใต้),Thai,false
191333,Caryota kiriwongensis,Giant Caryota,English,true
191348,Kerriodoxa elegans,White Backed Palm,English,false
191348,Kerriodoxa elegans,White Elephant Palm,English,false
191348,Kerriodoxa elegans,Chao Muang Thalang (เจ้าเมืองถลาง),Thai,false
191348,Kerriodoxa elegans,Thang Lang Khao (ทังหลังขาว),Thai,false
191348,Kerriodoxa elegans,Praya Thalang (พระยาถลาง),Thai,true
191351,Maxburretia furtadoana,Palm Phra Rahu (ปาล์มพระราหู),Thai,false
191351,Maxburretia furtadoana,Mak Phra Rahu (หมากพระราหู),Thai,true
