assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
495907,10041,Heosemys annandalii,ANIMALIA,CHORDATA,TESTUDINES,REPTILIA,GEOEMYDIDAE,Heosemys,annandalii,,,,"(Boulenger in Annandale &amp; Robinson, 1903)",Critically Endangered,A2cd+4cd,3.1,Decreasing,Global
497499,132523146,Hubbsina turneri,ANIMALIA,CHORDATA,CYPRINODONTIFORMES,ACTINOPTERYGII,GOODEIDAE,Hubbsina,turneri,,,,"(de Buen, 1940)",Critically Endangered,"B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)",3.1,Decreasing,Global
497550,10267,Hungerfordia pelewensis,ANIMALIA,MOLLUSCA,ARCHITAENIOGLOSSA,GASTROPODA,DIPLOMMATINIDAE,Hungerfordia,pelewensis,,,,"R.H. Beddome, 1889",Endangered,"B1ab(ii,iii)+2ab(ii,iii)",3.1,Unknown,Global
499158,10825,Indotestudo forstenii,ANIMALIA,CHORDATA,TESTUDINES,REPTILIA,TESTUDINIDAE,Indotestudo,forstenii,,,,"(Schlegel &amp; Müller, 1845)",Critically Endangered,A4cd,3.1,Decreasing,Global
499618,10950,Pangshura sylhetensis,ANIMALIA,CHORDATA,TESTUDINES,REPTILIA,GEOEMYDIDAE,Pangshura,sylhetensis,,,,"Jerdon, 1870",Critically Endangered,A2cd+4cd,3.1,Decreasing,Global
500479,11058,Kubaryia pilikia,ANIMALIA,MOLLUSCA,LITTORINIMORPHA,GASTROPODA,ASSIMINEIDAE,Kubaryia,pilikia,,,,"Clench, 1948",Critically Endangered,B1ab(iii),3.1,Unknown,Global
500918,1117,Ameca splendens,ANIMALIA,CHORDATA,CYPRINODONTIFORMES,ACTINOPTERYGII,GOODEIDAE,Ameca,splendens,,,,"Gartner, 1981",Critically Endangered,"B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv)",3.1,Decreasing,Global
501662,11242,Lampsilis rafinesqueana,ANIMALIA,MOLLUSCA,UNIONIDA,BIVALVIA,UNIONIDAE,Lampsilis,rafinesqueana,,,,"Frierson, 1927",Endangered,A2ac,3.1,Decreasing,Global
502085,11250,Hamiota altilis,ANIMALIA,MOLLUSCA,UNIONIDA,BIVALVIA,UNIONIDAE,Hamiota,altilis,,,,"(Conrad, 1834)",Endangered,"B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)",3.1,Decreasing,Global
502298,11256,Obovaria haddletoni,ANIMALIA,MOLLUSCA,UNIONIDA,BIVALVIA,UNIONIDAE,Obovaria,haddletoni,,,,"(Athearn, 1964)",Critically Endangered,A2ac,3.1,,Global
502943,11479,Lemiox rimosus,ANIMALIA,MOLLUSCA,UNIONIDA,BIVALVIA,UNIONIDAE,Lemiox,rimosus,,,,"(Rafinesque, 1831)",Critically Endangered,"B1ab(i,ii,iii,iv)",3.1,Decreasing,Global
503764,11785,Leptoxis taeniata,ANIMALIA,MOLLUSCA,SORBEOCONCHA,GASTROPODA,PLEUROCERIDAE,Leptoxis,taeniata,,,,"(Conrad, 1834)",Endangered,"B1ab(i,ii,iii)",3.1,Decreasing,Global
