internalTaxonId,scientificName,name,genusName,speciesName,speciesAuthor,infraType,infrarankAuthor
10041,Heosemys annandalii,"Hieremys annandalii (Boulenger in Annandale & Robinson,1903)",Hieremys,annandalii,"(Boulenger in Annandale & Robinson,1903)",,
10041,Heosemys annandalii,"Cyclemys annandalii Boulenger in Annandale & Robinson, 1903",Cyclemys,annandalii,"Boulenger in Annandale & Robinson, 1903",,
132523146,Hubbsina turneri,"Girardinichthys ireneae Radda &amp; Meyer, 2003",Girardinichthys,ireneae,"Radda &amp; Meyer, 2003",,
132523146,Hubbsina turneri,"Girardinichthys turneri (de Buen, 1940)",Girardinichthys,turneri,"(de Buen, 1940)",,
10825,Indotestudo forstenii,"testudo forstenii Schlegel & Müller, 1845",testudo,forstenii,"Schlegel & Müller, 1845",,
10950,Pangshura sylhetensis,"Kachuga sylhetensis (Jerdon, 1870)",Kachuga,sylhetensis,"(Jerdon, 1870)",,
11242,Lampsilis rafinesqueana,"Actinonaias rafinesqueana (Frierson, 1927)",Actinonaias,rafinesqueana,"(Frierson, 1927)",,
11250,Hamiota altilis,"Lampsilis altilis (Conrad, 1834)",Lampsilis,altilis,"(Conrad, 1834)",,
11250,Hamiota altilis,"Unio altilis Conrad, 1834",Unio,altilis,"Conrad, 1834",,
11256,Obovaria haddletoni,"Lampsilis haddletoni Athearn, 1964",Lampsilis,haddletoni,"Athearn, 1964",,
11479,Lemiox rimosus,"Conradilla caelata (Conrad, 1834)",Conradilla,caelata,"(Conrad, 1834)",,
11922,Pleuronaia dolabelloides,"Lexingtonia dolabelloides (Lea, 1840)",Lexingtonia,dolabelloides,"(Lea, 1840)",,
232775771,Macrochelys temminckii,"Chelonura temminckii Troost in Harlan, 1835",Chelonura,temminckii,"Troost in Harlan, 1835",,
232775771,Macrochelys temminckii,"Macroclemys temminckii (Troost in Harlan, 1835)",Macroclemys,temminckii,"(Troost in Harlan, 1835)",,
232775771,Macrochelys temminckii,"Gypochelys lacertina Agassiz, 1857",Gypochelys,lacertina,"Agassiz, 1857",,
232775771,Macrochelys temminckii,"Macrochelys apalachicolae Thomas, Granatosky, Bourque, Krysko, Moler, Gamble, Suarez, Leone, Enge & Roman, 2014",Macrochelys,apalachicolae,"Thomas, Granatosky, Bourque, Krysko, Moler, Gamble, Suarez, Leone, Enge & Roman, 2014",,
12696,Malacochersus tornieri,"Testudo loveridgii Boulenger, 1920",Testudo,loveridgii,"Boulenger, 1920",,
12696,Malacochersus tornieri,"Testudo tornieri Siebenrock, 1903",Testudo,tornieri,"Siebenrock, 1903",,
12775,Manouria impressa,Geoemyda impressa Gunther 1882,Geoemyda,impressa,Gunther 1882,,
12775,Manouria impressa,"Geoemyda  latinuchalis Vaillant, 1894",Geoemyda ,latinuchalis,"Vaillant, 1894",,
12775,Manouria impressa,"Testudo pseudemys Boulenger, 1903",Testudo,pseudemys,"Boulenger, 1903",,
12953,Megalagrion jugorum,"Agrion jugorum Perkins, 1899",Agrion,jugorum,"Perkins, 1899",,
12959,Megalagrion pacificum,"Agrion pacificum McLachlan, 1883",Agrion,pacificum,"McLachlan, 1883",,
12960,Megalagrion xanthomelas,"Agrion xanthomelas Selys, 1876",Agrion,xanthomelas,"Selys, 1876",,
13038,Melanochelys tricarinata,"Chaibassia theobaldi Anderson, 1879",Chaibassia,theobaldi,"Anderson, 1879",,
13038,Melanochelys tricarinata,Geomyda carinata Blyth 1870,Geomyda,carinata,Blyth 1870,,
13038,Melanochelys tricarinata,Nicoria tricarinata Lydekker 1889,Nicoria,tricarinata,Lydekker 1889,,
13038,Melanochelys tricarinata,"Geoemyda tricarinata Blyth, 1856",Geoemyda,tricarinata,"Blyth, 1856",,
135889,Telmatobius sanborni,"Telmatobius marmoratus ssp. rugosus Vellard, 1960",Telmatobius,marmoratus,,subspecies,"Vellard, 1960"
136036,Ctenophryne barbatula,"Melanophryne barbatula Lehr &  Trueb, 2007",Melanophryne,barbatula,"Lehr &  Trueb, 2007",,
136129,Telmatobius punctatus,"Telmatobius brevirostris Vellard, 1955",Telmatobius,brevirostris,"Vellard, 1955",,
78526171,Oreobates lehri,"Eleutherodactylus lehri Padial, Chaparro & De la Riva, 2007",Eleutherodactylus,lehri,"Padial, Chaparro & De la Riva, 2007",,
137934,Canthonella gomezi,"Ipselissus gomezi Halffter &amp; Martinez, 1968",Ipselissus,gomezi,"Halffter &amp; Martinez, 1968",,
138178,Onoreidium howdeni,"Pedaridium howdeni Ferreira &amp; Galileo, 1993",Pedaridium,howdeni,"Ferreira &amp; Galileo, 1993",,
138359,Proagoderus uluguru,"Onthophagus uluguru Frey, 1975",Onthophagus,uluguru,"Frey, 1975",,
13873,Morenia ocellata,"Emys ocellata Duméril & Bibron, 1835",Emys,ocellata,"Duméril & Bibron, 1835",,
13873,Morenia ocellata,"Emys berdmorei Blyth, 1859",Emys,berdmorei,"Blyth, 1859",,
13874,Morenia petersi,"Batagur petersi Anderson, 1879",Batagur,petersi,"Anderson, 1879",,
14505,Neochanna burrowsius,"Galaxias burrowsius Phillipps, 1926",Galaxias,burrowsius,"Phillipps, 1926",,
14765,Nilssonia formosa,"Trionyx formosus Gray, 1869",Trionyx,formosus,"Gray, 1869",,
14765,Nilssonia formosa,"Trionys peguensis Gray, 1870",Trionys,peguensis,"Gray, 1870",,
14765,Nilssonia formosa,"Trionyx grayii Theobald, 1875",Trionyx,grayii,"Theobald, 1875",,
15026,Mauremys sinensis,"Ocadia glyphistoma McCord & Iverson, 1994 [<i>partim</i>, hybrid]",Ocadia,glyphistoma,"McCord & Iverson, 1994 [<i>partim</i>, hybrid]",,
15026,Mauremys sinensis,"Ocadia sinensis (Gray, 1834)",Ocadia,sinensis,"(Gray, 1834)",,
15026,Mauremys sinensis,"Ocadia philippeni McCord & Iverson, 1992 [<i>partim</i>, hybrid]",Ocadia,philippeni,"McCord & Iverson, 1992 [<i>partim</i>, hybrid]",,
15026,Mauremys sinensis,"Emys sinensis Gray, 1834",Emys,sinensis,"Gray, 1834",,
15026,Mauremys sinensis,"Emys bennetti Gray, 1844",Emys,bennetti,"Gray, 1844",,
15026,Mauremys sinensis,"Testudo anyangensis Ping, 1930 †",Testudo,anyangensis,"Ping, 1930 †",,
15026,Mauremys sinensis,"Ocadia sinensis ssp. changwui Tao, 1988 †",Ocadia,sinensis,,subspecies,"Tao, 1988 †"
15387,Ophisternon infernale,"Pluto infernalis Hubbs, 1938",Pluto,infernalis,"Hubbs, 1938",,
15509,Orlitia borneensis,"Hardella baileyi Bartlett, 1895",Hardella,baileyi,"Bartlett, 1895",,
15509,Orlitia borneensis,"Liemys inornata Boulenger, 1897",Liemys,inornata,"Boulenger, 1897",,
15509,Orlitia borneensis,"Clemmys gibbera Peters, 1874",Clemmys,gibbera,"Peters, 1874",,
15509,Orlitia borneensis,"Adelochelys crassa Baur, 1896",Adelochelys,crassa,"Baur, 1896",,
15918,Palea steindachneri,"Trionyx steindachneri Siebenrock, 1906",Trionyx,steindachneri,"Siebenrock, 1906",,
15918,Palea steindachneri,"Aspidonectes californiana Rivers, 1889",Aspidonectes,californiana,"Rivers, 1889",,
160595,Pseudochazara cingovskii,"Satyrus sintenisi cingovskii Gross, 1973",Satyrus,sintenisi cingovskii,"Gross, 1973",,
161373,Pseudobatos percellens,"Rhinobatos percellens (Walbaum, 1792)",Rhinobatos,percellens,"(Walbaum, 1792)",,
161373,Pseudobatos percellens,"Raja percellens Walbaum, 1792",Raja,percellens,"Walbaum, 1792",,
161378,Carcharhinus acronotus,"Squalus acronotus Poey, 1860",Squalus,acronotus,"Poey, 1860",,
284113569,Paratrygon aiereba,"Trygon aiereba Müller, 1841",Trygon,aiereba,"Müller, 1841",,
284113569,Paratrygon aiereba,"Raja orbicularis Bloch & Schneider , 1801",Raja,orbicularis,"Bloch & Schneider , 1801",,
284113569,Paratrygon aiereba,"Raia sloani Stephan, 1779",Raia,sloani,"Stephan, 1779",,
284113569,Paratrygon aiereba,"Raja ajereba Walbaum, 1792",Raja,ajereba,"Walbaum, 1792",,
16274,Partula gibba,"Partula mastersi L. Pfeiffer, 1853",Partula,mastersi,"L. Pfeiffer, 1853",,
16274,Partula gibba,"Partula bicolor Pease, 1871",Partula,bicolor,"Pease, 1871",,
163414,Cuora mouhotii,"Pyxidea mouhotii (Gray, 1862)",Pyxidea,mouhotii,"(Gray, 1862)",,
163414,Cuora mouhotii,"Cyclemys mouhotii Gray, 1862",Cyclemys,mouhotii,"Gray, 1862",,
163415,Cyclemys oldhamii,"Cyclemys belli Gray, 1863",Cyclemys,belli,"Gray, 1863",,
163415,Cyclemys oldhamii,"Emys dhor Gray, 1831",Emys,dhor,"Gray, 1831",,
163415,Cyclemys oldhamii,"Geoemyda tcheponensis Bourret, 1939",Geoemyda,tcheponensis,"Bourret, 1939",,
163415,Cyclemys oldhamii,"Cyclemys dhor ssp. shanensis Annandale, 1918",Cyclemys,dhor,,subspecies,"Annandale, 1918"
163415,Cyclemys oldhamii,"Cyclemys tiannanensis Kou, 1989",Cyclemys,tiannanensis,"Kou, 1989",,
163423,Centrochelys sulcata,"Testudo calcarata Schneider, 1784",Testudo,calcarata,"Schneider, 1784",,
163423,Centrochelys sulcata,"Testudo sulcata Miller, 1779",Testudo,sulcata,"Miller, 1779",,
163423,Centrochelys sulcata,"Testudo radiata ssp. senegalensis Gray, 1831",Testudo,radiata,,subspecies,"Gray, 1831"
163423,Centrochelys sulcata,"Geochelone sulcata (Miller, 1779)",Geochelone,sulcata,"(Miller, 1779)",,
163458,Batagur borneoensis,"Callagur borneoensis (Schlegel & Müller, 1844)",Callagur,borneoensis,"(Schlegel & Müller, 1844)",,
163458,Batagur borneoensis,"Emys borneoensis Schlegel & Müller, 1844",Emys,borneoensis,"Schlegel & Müller, 1844",,
163458,Batagur borneoensis,"Kachuga major Gray, 1873",Kachuga,major,"Gray, 1873",,
163458,Batagur borneoensis,"Batagur  picta Gray, 1862",Batagur ,picta,"Gray, 1862",,
163458,Batagur borneoensis,"Kachuga brookei Bartlett, 1895",Kachuga,brookei,"Bartlett, 1895",,
164816,Pseudunio homsensis,"Unio homsensis Lea, 1865",Unio,homsensis,"Lea, 1865",,
164816,Pseudunio homsensis,"Margaritifera homsensis (Lea, 1864)",Margaritifera,homsensis,"(Lea, 1864)",,
135458600,Pelochelys cantorii,"Pelochelys clivepalmeri Hoser, 2014",Pelochelys,clivepalmeri,"Hoser, 2014",,
135458600,Pelochelys cantorii,"Pelochelys poljakowii Strauch, 1890",Pelochelys,poljakowii,"Strauch, 1890",,
135458600,Pelochelys cantorii,"Pelochelys cumingii Gray, 1864",Pelochelys,cumingii,"Gray, 1864",,
135458600,Pelochelys cantorii,"Pelochelys cumungii Gray, 1864",Pelochelys,cumungii,"Gray, 1864",,
135458600,Pelochelys cantorii,"Pelochelys telstraorum Hoser, 2014",Pelochelys,telstraorum,"Hoser, 2014",,
135458600,Pelochelys cantorii,"Pelochys cantoris Boulenger, 1889",Pelochys,cantoris,"Boulenger, 1889",,
135458600,Pelochelys cantorii,"Chitra minor Jaekel, 1911 †",Chitra,minor,"Jaekel, 1911 † ",,
169366,Tlaloc hildebrandi,"Profundulus hildebrandi Miller, 1950",Profundulus,hildebrandi,"Miller, 1950",,
169367,Vieja hartwegi,"Cichlasoma hartwegi Taylor & Miller, 1980",Cichlasoma,hartwegi,"Taylor & Miller, 1980",,
169367,Vieja hartwegi,"Paraneetroplus hartwegi (Tyalor & Miller, 1980)",Paraneetroplus,hartwegi,"(Tyalor & Miller, 1980)",,
169372,Allotoca diazi,"Zoogoneticus miniatus Meek, 1902",Zoogoneticus,miniatus,"Meek, 1902",,
169372,Allotoca diazi,"Neoophorus diazi Turner, 1937",Neoophorus,diazi,"Turner, 1937",,
169372,Allotoca diazi,"Neoophorus diazi ssp. diazi de Buen, 1942",Neoophorus,diazi,,subspecies,"de Buen, 1942"
169372,Allotoca diazi,"Zoogoneticus diazi Meek, 1902",Zoogoneticus,diazi,"Meek, 1902",,
169387,Chirostoma promelas,"Menidia promelas (Jordan & Snyder, 1899)",Menidia,promelas,"(Jordan & Snyder, 1899)",,
169391,Chirostoma attenuatum,"Menidia attenuata (Meek, 1902)",Menidia,attenuata,"(Meek, 1902)",,
169397,Herichthys steindachneri,"Cichlasoma steindachneri Jordan & Snyder, 1899",Cichlasoma,steindachneri,"Jordan & Snyder, 1899",,
17026,Phocarctos hookeri,"Arctocephalus hookeri Gray, 1844",Arctocephalus,hookeri,"Gray, 1844",,
170510,Rhinoclemmys diademata,"Rhinoclemmys punctularia ssp. diademata (Mertens, 1954)",Rhinoclemmys,punctularia,,subspecies,"(Mertens, 1954)"
170510,Rhinoclemmys diademata,"Callopsis punctularia ssp. diademata (Mertens, 1954)",Callopsis,punctularia,,subspecies,"(Mertens, 1954)"
170510,Rhinoclemmys diademata,"Geoemyda punctularia ssp. diademata Mertens, 1954",Geoemyda,punctularia,,subspecies,"Mertens, 1954"
170841,Charpentieria spezialensis,Delima (Priodelima) specialensis nomen nudum Ehrmann,Delima (Priodelima),specialensis nomen nudum,Ehrmann,,
170841,Charpentieria spezialensis,"Siciliaria spezialensis H. Nordsieck, 1984",Siciliaria,spezialensis,"H. Nordsieck, 1984",,
170876,Retinella osoriensis,"Hyalina osoriensis Wollaston, 1878",Hyalina,osoriensis,"Wollaston, 1878",,
170891,Oxychilus fuscosus,"Zonites alleryi Paulucci, 1878",Zonites,alleryi,"Paulucci, 1878",,
171010,Vermetum festinans,"Zonites festinans Shuttleworth, 1852",Zonites,festinans,"Shuttleworth, 1852",,
171033,Charpentieria grohmanniana,"Clausilia grohmanniana var. minor Schmidt, 1868",Clausilia,grohmanniana var. minor,"Schmidt, 1868",,
171033,Charpentieria grohmanniana,"Clausilia grohmanniana var. panormitana Paulucci, 1878",Clausilia,grohmanniana var. panormitana,"Paulucci, 1878",,
171033,Charpentieria grohmanniana,"Claussilia crassilabris Monterosato, 1894",Claussilia,crassilabris,"Monterosato, 1894",,
171067,Janulus pompylius,"Helix pompylia Shuttleworth, 1852",Helix,pompylia,"Shuttleworth, 1852",,
171110,Carinigera lophauchena,"Isabellaria lophauchena (Sturany, 1894)",Isabellaria,lophauchena,"(Sturany, 1894)",,
171110,Carinigera lophauchena,"Clausilia lophauchena Sturany, 1894",Clausilia,lophauchena,"Sturany, 1894",,
171139,Atlantica gomerensis,"Discus (Gonyodiscus?) gomerensis Rähle, 1994",Discus (Gonyodiscus?),gomerensis,"Rähle, 1994",,
171139,Atlantica gomerensis,"Discus gomerensis Rähle, 1994",Discus,gomerensis,"Rähle, 1994",,
171446,Charpentieria leucophryna,"Clausilia leucophryne var. laudabilis Boettger, 1879",Clausilia,leucophryne var. laudabilis,"Boettger, 1879",,
171446,Charpentieria leucophryna,"Clausilia confinata var. merens Westerlund, 1892",Clausilia,confinata var. merens,"Westerlund, 1892",,
171595,Charpentieria ferrox,"Siciliaria ferrox R.A. Brandt, 1961",Siciliaria,ferrox,"R.A. Brandt, 1961",,
171613,Tandonia lagostana,"Milax lagostanus H. Wagner, 1940",Milax,lagostanus,"H. Wagner, 1940",,
171621,Xerotricha garachicoensis,"Keraea garachicoensis (Wollaston, 1878)",Keraea,garachicoensis,"(Wollaston, 1878)",,
171621,Xerotricha garachicoensis,"Patula garachicoensis Wollaston, 1878",Patula,garachicoensis,"Wollaston, 1878",,
171621,Xerotricha garachicoensis,"Patula garachicoensis var. ß submarmorata Wollaston, 1878",Patula,garachicoensis var. ß submarmorata,"Wollaston, 1878",,
171649,Charpentieria nobilis,"Siciliaria episoma Brandt, 1961",Siciliaria,episoma,"Brandt, 1961",,
172525,Kinyongia vosseleri,"Chamaeleon fischeri ssp. vosseleri Nieden, 1913",Chamaeleon,fischeri,,subspecies,"Nieden, 1913"
172529,Rhampholeon temporalis,"Chamaeleon temporalis Matschie, 1892",Chamaeleon,temporalis,"Matschie, 1892",,
172530,Nadzikambia mlanjensis,"Nadzikambia mlanjense (Broadley, 1965) [orth. error]",Nadzikambia,mlanjense,"(Broadley, 1965) [orth. error]",,
172530,Nadzikambia mlanjensis,"Chamaeleo mlanjense Broadley, 1965",Chamaeleo,mlanjense,"Broadley, 1965",,
172532,Rhampholeon platyceps,"Brookesia platyceps ssp. carri Loveridge, 1953",Brookesia,platyceps,,subspecies,"Loveridge, 1953"
172532,Rhampholeon platyceps,"Brookesia platyceps (Günther, 1893)",Brookesia,platyceps,"(Günther, 1893)",,
172545,Kinyongia matschiei,"Chamaeleon matschiei Werner, 1895",Chamaeleon,matschiei,"Werner, 1895",,
172552,Kinyongia tenuis,"Bradypodion tenue (Matschie, 1892)",Bradypodion,tenue,"(Matschie, 1892)",,
172552,Kinyongia tenuis,"Kinyongia tenue (Matschie, 1892) [orth. error]",Kinyongia,tenue,"(Matschie, 1892) [orth. error]",,
172552,Kinyongia tenuis,"Chamaeleon tenuis Matschie, 1892",Chamaeleon,tenuis,"Matschie, 1892",,
172572,Trioceros pfefferi,"Chamaeleo pfefferi (Tornier, 1900)",Chamaeleo,pfefferi,"(Tornier, 1900)",,
172572,Trioceros pfefferi,"Chamaeleon pfefferi Tornier, 1900",Chamaeleon,pfefferi,"Tornier, 1900",,
172574,Kinyongia multituberculata,"Chamaeleon fischeri ssp. multituberculatus Nieden, 1913",Chamaeleon,fischeri,,subspecies,"Nieden, 1913"
172599,Eutropis clivicola,"Mabuya clivicola Inger, R. F., Shaffer, H. B., Koshy, M. and Bakde, R.",Mabuya,clivicola,"Inger, R. F., Shaffer, H. B., Koshy, M. and Bakde, R.",,
