internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
10041,Heosemys annandalii,ANIMALIA,CHORDATA,REPTILIA,TESTUDINES,GEOEMYDIDAE,Heosemys,annandalii,,,,,"(Boulenger in Annandale &amp; Robinson, 1903)",Appeared on IUCN Red Lists prior to 2007 under the generic name <i>Hieremys</i>.
132523146,Hubbsina turneri,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINODONTIFORMES,GOODEIDAE,Hubbsina,turneri,,,,,"(de Buen, 1940)","Fernando de Buén described<em>&#160;Hubbsina turneri</em> after specimens he collected in August 1940 in the Presa Cointzio, Río Grande de Morelia drainage. In 1983, Uyeno <em>et al</em>. published studies on the Karyotypes of Goodeids and A. Radda attached importance to these results, According to identical Karyotypes, he transfered 1984 this species into the genus <em>Girardinichthys</em>. Though phylogenetic results since the early 2000's (Doadrio and Domínguez, 2004) supported the individuality of the genus <em>Hubbsina</em>, Radda held onto his system, in 2004 raising the stock from the Lago Zacapú to species rank describing it as <em>Girardinichthys ireneae. </em>This stock is&#160;now regarded as subpopulation of <em>Hubbsina turneri</em>. According to its affiliation to three drainages, three subpopulations are distinguished: The Río Grande de Morelia subpopulation (type subpopulation), the Laguna Yuriría subpopulation and the Río Angulo subpopulation. The first two subpopulations are regarded Extinct. This species is here considered valid in the genus <em>Hubbsina </em>de Buen, 1940 following&#160;Ramírez-Herrejón&#160;<em>et al.</em> (2010). This differs from Eschmeyer <em>et al.</em> (2018) which consider it meanwhile valid in the genus&#160;<em>Girardinichthys </em>Bleeker, 1860."
10267,Hungerfordia pelewensis,ANIMALIA,MOLLUSCA,GASTROPODA,ARCHITAENIOGLOSSA,DIPLOMMATINIDAE,Hungerfordia,pelewensis,,,,,"R.H. Beddome, 1889",
10825,Indotestudo forstenii,ANIMALIA,CHORDATA,REPTILIA,TESTUDINES,TESTUDINIDAE,Indotestudo,forstenii,,,,,"(Schlegel &amp; Müller, 1845)",
10950,Pangshura sylhetensis,ANIMALIA,CHORDATA,REPTILIA,TESTUDINES,GEOEMYDIDAE,Pangshura,sylhetensis,,,,,"Jerdon, 1870","<p>Traditionally placed in the genus <em>Kachuga</em>, it was assigned to the subgenus <em>Pangshura</em> by Moll (1987); <em>Pangshura</em> was elevated to genus level by Das (2001).&#160;</p>"
11058,Kubaryia pilikia,ANIMALIA,MOLLUSCA,GASTROPODA,LITTORINIMORPHA,ASSIMINEIDAE,Kubaryia,pilikia,,,,,"Clench, 1948",
1117,Ameca splendens,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINODONTIFORMES,GOODEIDAE,Ameca,splendens,,,,,"Gartner, 1981","The male Holotype of this species was collected together with the female Allotype and 198 Paratopotypes by Robert R. Miller and James T. Greenbank in March 1955 from the Río Teuchitlán, near the road between HW 70 and Etzatlán. Nine Paratypes were collected by Arthur A. Alcorn from a tributary to the Presa La Vega in February 1949 about 2km ESE of Teuchitlán and ten more by James A. Peters and William B. McIntosh in April of the same year from the Río Ameca about 12km E of the town of Ameca. In recent years (2006), the species has been additionally reported from the Balneario Almoloya, endorheic Laguna Magdalena basin, and the El Molino pond near Cuyacapán, endorheic Laguna de Sayula basin. Affiliated to three distinct drainages, three subpopulations can be inferred. The Río Ameca subpopulation (type subpopulation), the Laguna Magdalena subpopulation and the Laguna de Sayula subpopulation. The last one disappeared from the wild a few years after it had been discovered and is regarded Extinct."
11242,Lampsilis rafinesqueana,ANIMALIA,MOLLUSCA,BIVALVIA,UNIONIDA,UNIONIDAE,Lampsilis,rafinesqueana,,,,,"Frierson, 1927",
11250,Hamiota altilis,ANIMALIA,MOLLUSCA,BIVALVIA,UNIONIDA,UNIONIDAE,Hamiota,altilis,,,,,"(Conrad, 1834)",
11256,Obovaria haddletoni,ANIMALIA,MOLLUSCA,BIVALVIA,UNIONIDA,UNIONIDAE,Obovaria,haddletoni,,,,,"(Athearn, 1964)","<span class=""copy"">This species is very similar in appearance to the sympatric <span class=""copy""><em>Villosa choctawensis </em>Athearn, 1964, so that the taxonomic status of this species requires verification (NatureServe 2010)<span class=""copy"">.</span>"
