internalTaxonId,scientificName,name,genusName,speciesName,speciesAuthor,infraType,infrarankAuthor
151198,Turbinicarpus subterraneus,Echinocactus subterraneus Backeb.,Echinocactus,subterraneus,Backeb.,,
151697,Eriosyce esmeraldana,Chileorebutia esmeraldana F.Ritter,Chileorebutia,esmeraldana,F.Ritter,,
151711,Parodia stockingeri,Notocactus stockingeri Prestlé,Notocactus,stockingeri,Prestlé,,
151720,Ferocactus flavovirens,Echinocactus flavovirens Scheidw.,Echinocactus,flavovirens,Scheidw.,,
151745,Parodia nigrispina,Echinocactus nigrispinus K.Schum.,Echinocactus,nigrispinus,K.Schum.,,
151748,Eriosyce crispa,Pyrrhocactus crispus F.Ritter,Pyrrhocactus,crispus,F.Ritter,,
151811,Echinopsis pampana,Lobivia pampana Britton & Rose,Lobivia,pampana,Britton & Rose,,
151813,Eriosyce calderana,Pyrrhocactus calderanus F.Ritter,Pyrrhocactus,calderanus,F.Ritter,,
151816,Rebutia krugerae,Aylostera krugerae Cárdenas,Aylostera,krugerae,Cárdenas,,
151831,Peniocereus maculatus,Cereus maculatus Weing.,Cereus,maculatus,Weing.,,
151834,Brasilicereus phaeacanthus,Cereus phaeacanthus Gürke,Cereus,phaeacanthus,Gürke,,
151857,Ferocactus chrysacanthus,Echinocactus chrysacanthus Orcutt,Echinocactus,chrysacanthus,Orcutt,,
151860,Disocactus macdougallii,Lobeira macdougallii Alexander,Lobeira,macdougallii,Alexander,,
151862,Cleistocactus sulcifer,Loxanthocereus sulcifer Rauh & Backeb.,Loxanthocereus,sulcifer,Rauh & Backeb.,,
151874,Consolea spinosissima,Opuntia spinosissima Mill.,Opuntia,spinosissima,Mill.,,
151875,Parodia muricata,Echinocactus muricatus Otto ex Pfeiff.,Echinocactus,muricatus,Otto ex Pfeiff.,,
151878,Disocactus eichlamii,Phyllocactus eichlamii Weing.,Phyllocactus,eichlamii,Weing.,,
151924,Eriosyce chilensis,Echinocactus chilensis Hildm. ex K.Schum.,Echinocactus,chilensis,Hildm. ex K.Schum.,,
151928,Coleocephalocereus goebelianus,Cereus goebelianus Vaupel,Cereus,goebelianus,Vaupel,,
151937,Parodia rechensis,Notocactus rechensis Buining,Notocactus,rechensis,Buining,,
151987,Pfeiffera micrantha,Cereus micranthus Vaupel,Cereus,micranthus,Vaupel,,
152047,Hatiora herminiae,Hariota herminiae Porto & A.Cast.,Hariota,herminiae,Porto & A.Cast.,,
152065,Eriosyce laui,Rimacactus laui (Lüthy) Mottram,Rimacactus,laui,(Lüthy) Mottram,,
152101,Eriosyce umadeave,Echinocactus umadeave Werderm.,Echinocactus,umadeave,Werderm.,,
152102,Parodia werdermanniana,Notocactus werdermannianus Herter,Notocactus,werdermannianus,Herter,,
152105,Peniocereus lazaro-cardenasii,"Neoevansia lazaro-cardenasii J.L.Contr., J.Jiménez Ram., Sánchez-Mej. & C.A Toledo",Neoevansia,lazaro-cardenasii,"J.L.Contr., J.Jiménez Ram., Sánchez-Mej. & C.A Toledo",,
152117,Mammillaria coahuilensis,Porfiria coahuilensis Boed,Porfiria,coahuilensis,Boed,,
152124,Parodia allosiphon,Notocactus allosiphon Marchesi,Notocactus,allosiphon,Marchesi,,
152129,Cleistocactus longiserpens,Cleistocactus serpens auctt. non Kunth,Cleistocactus,serpens,auctt. non Kunth,,
152143,Peniocereus zopilotensis,Wilcoxia zopilotensis J.Meyrán,Wilcoxia,zopilotensis,J.Meyrán,,
152152,Gymnocalycium denudatum,Echinocactus denudatus Link & Otto,Echinocactus,denudatus,Link & Otto,,
152162,Pilosocereus quadricentralis,Cephalocereus quadricentralis E.Y.Dawson,Cephalocereus,quadricentralis,E.Y.Dawson,,
152170,Melocactus matanzanus,Melocactus actinacanthus Areces,Melocactus,actinacanthus,Areces,,
152173,Echinopsis oligotricha,Lobivia oligotricha Cárdenas,Lobivia,oligotricha,Cárdenas,,
152179,Weberocereus imitans,Werckleocereus imitans Kimnach & Hutchison,Werckleocereus,imitans,Kimnach & Hutchison,,
152193,Pseudorhipsalis alata,Cactus alatus Sw.,Cactus,alatus,Sw.,,
152200,Parodia warasii,Eriocactus warasii F.Ritter,Eriocactus,warasii,F.Ritter,,
152230,Discocactus diersianus,Discocactus lindaianus Diers &amp; Esteves,Discocactus,lindaianus,Diers &amp; Esteves,,
152249,Eriosyce simulans,Pyrrhocactus simulans F.Ritter,Pyrrhocactus,simulans,F.Ritter,,
152270,Parodia nivosa,Microspermia nivosa Fric,Microspermia,nivosa,Fric,,
152273,Dendrocereus nudiflorus,Cereus nudiflorus Engelm. ex Wright,Cereus,nudiflorus,Engelm. ex Wright,,
152296,Echinopsis hertrichiana,Lobivia hertrichiana Backeb.,Lobivia,hertrichiana,Backeb.,,
152326,Hatiora epiphylloides,Rhipsalis epiphylloides Porto & Werderm.,Rhipsalis,epiphylloides,Porto & Werderm.,,
152352,Pilosocereus diersianus,Pseudopilocereus diersianus Esteves,Pseudopilocereus,diersianus,Esteves,,
152360,Oroya peruviana,Echinocactus peruvianus K.Schum.,Echinocactus,peruvianus,K.Schum.,,
152387,Echinopsis angelesiae,Trichocereus angelesiae R.Kiesling,Trichocereus,angelesiae,R.Kiesling,,
152396,Matucana madisoniorum,Borzicactus madisoniorum Hutchison,Borzicactus,madisoniorum,Hutchison,,
152405,Rhipsalis dissimilis,Lepismium dissimile G.Lindb.,Lepismium,dissimile,G.Lindb.,,
152408,Hylocereus calcaratus,Cereus calcaratus F.A.C Weber,Cereus,calcaratus,F.A.C Weber,,
152417,Cylindropuntia hystrix,Opuntia hystrix Griseb.,Opuntia,hystrix,Griseb.,,
152421,Corynopuntia reflexispina,Opuntia reflexispina Wiggins & Rollins,Opuntia,reflexispina,Wiggins & Rollins,,
152437,Parodia leninghausii,Echinocactus leninghausii F.Haage,Echinocactus,leninghausii,F.Haage,,
152444,Parodia horstii,Notocactus horstii F.Ritter,Notocactus,horstii,F.Ritter,,
152446,Corryocactus brachypetalus,Cereus brachypetalus Vaupel,Cereus,brachypetalus,Vaupel,,
152487,Echinopsis coquimbana,Cactus coquimbanus Molina,Cactus,coquimbanus,Molina,,
152489,Disocactus biformis,Cereus biformis Lindl.,Cereus,biformis,Lindl.,,
152529,Parodia herteri,Echinocactus herteri Werderm.,Echinocactus,herteri,Werderm.,,
152532,Matucana weberbaueri,Echinocactus weberbaueri Vaupel,Echinocactus,weberbaueri,Vaupel,,
152543,Maihueniopsis minuta,Tephrocactus minutus Backeb.,Tephrocactus,minutus,Backeb.,,
152547,Echinocereus sciurus,Cereus sciurus K.Brandegee,Cereus,sciurus,K.Brandegee,,
152551,Cleistocactus jajoanus,Borzicactus jajoanus Backeb.,Borzicactus,jajoanus,Backeb.,,
152551,Cleistocactus jajoanus,Borzicactus jajoianus Backeb. [orth. error],Borzicactus,jajoianus,Backeb. [orth. error],,
152555,Eriosyce iquiquensis,Pyrrhocactus iquiquensis F.Ritter,Pyrrhocactus,iquiquensis,F.Ritter,,
152575,Mammillaria capensis,Neomammillaria capensis H.E.Gates,Neomammillaria,capensis,H.E.Gates,,
152582,Weberbauerocereus cephalomacrostibas,Cereus cephalomacrostibas Werderm. & Backeb.,Cereus,cephalomacrostibas,Werderm. & Backeb.,,
152593,Echinopsis walteri,Lobivia walteri R.Kiesling,Lobivia,walteri,R.Kiesling,,
152598,Stenocereus chacalapensis,Ritterocereus chacalpensis Bravo & T.MacDoug.,Ritterocereus,chacalpensis,Bravo & T.MacDoug.,,
152604,Cereus saddianus,Monvillea saddiana Rizzini & A.Mattos,Monvillea,saddiana,Rizzini & A.Mattos,,
152629,Mammillaria peninsularis,Neomammillaria peninsularis Britton & Rose,Neomammillaria,peninsularis,Britton & Rose,,
152638,Parodia tenuicylindrica,Notocactus tenuicylindricus F.Ritter,Notocactus,tenuicylindricus,F.Ritter,,
152641,Matucana huagalensis,Borzicactus huagalensis Donald & A.B.Lau,Borzicactus,huagalensis,Donald & A.B.Lau,,
152653,Escobaria cubensis,Coryphantha cubensis Britton & Rose,Coryphantha,cubensis,Britton & Rose,,
152657,Stenocereus martinezii,Lemaireocereus martinezii J.G.Ortega,Lemaireocereus,martinezii,J.G.Ortega,,
152666,Parodia rudibuenekeri,Notocactus rudibuenekeri W.R.Abraham,Notocactus,rudibuenekeri,W.R.Abraham,,
152675,Epiphyllum lepidocarpum,Phyllocactus lepidocarpus F.A.C.Weber,Phyllocactus,lepidocarpus,F.A.C.Weber,,
152677,Parodia mueller-melchersii,Notocactus mueller-melchersii Backeb.,Notocactus,mueller-melchersii,Backeb.,,
152684,Echinopsis caulescens,Trichocereus caulescens F.Ritter,Trichocereus,caulescens,F.Ritter,,
152712,Parodia arnostiana,Notocactus arnostianus Lisal & Kolarik,Notocactus,arnostianus,Lisal & Kolarik,,
152718,Parodia neohorstii,Notocactus neohorstii S.Theun.,Notocactus,neohorstii,S.Theun.,,
152720,Coryphantha potosiana,Mammillaria potosiana Jacobi,Mammillaria,potosiana,Jacobi,,
152727,Corynopuntia bulbispina,Opuntia bulbispina Engelm.,Opuntia,bulbispina,Engelm.,,
152741,Parodia magnifica,Eriocactus magnificus F.Ritter,Eriocactus,magnificus,F.Ritter,,
152743,Astrophytum caput-medusae,Digitostigma caput-medusae Velazco & Nevárez,Digitostigma,caput-medusae,Velazco & Nevárez,,
152749,Echinocereus schmollii,Cereus schmollii Weing.,Cereus,schmollii,Weing.,,
152762,Cleistocactus xylorhizus,Loxanthocereus xylorhizus F.Ritter,Loxanthocereus,xylorhizus,F.Ritter,,
152765,Schlumbergera russelliana,Epiphyllum russellianum Hook.,Epiphyllum,russellianum,Hook.,,
