species,lat,lon,country,year
Coleocephalocereus braunii,-20.045833,-43.493056,Brazil,2021
Coleocephalocereus braunii,-20.143402,-41.022789,Brazil,2021
Coleocephalocereus braunii,-20.045833,-41.071667,Brazil,2018
Coleocephalocereus braunii,-20.173889,-40.916111,Brazil,2016
Matucana aureiflora,-7.161096,-78.472127,Peru,2023
Matucana aureiflora,-7.381051,-78.324776,Peru,2021
Peniocereus occidentalis,15.677519,-96.695526,Mexico,2025
Peniocereus occidentalis,15.783066,-96.043921,Mexico,2025
Peniocereus occidentalis,15.673566,-96.03277,Mexico,2025
Peniocereus occidentalis,15.686048,-96.064697,Mexico,2025
Peniocereus occidentalis,15.770088,-96.163533,Mexico,2025
Peniocereus occidentalis,15.645964,-96.083735,Mexico,2025
Peniocereus occidentalis,15.856324,-96.786999,Mexico,2025
Peniocereus occidentalis,15.866053,-97.02498,Mexico,2024
Peniocereus occidentalis,16.389587,-97.943227,Mexico,2023
Peniocereus occidentalis,15.849259,-93.685894,Mexico,2023
Peniocereus occidentalis,15.996461,-93.706854,Mexico,2023
Peniocereus occidentalis,15.985464,-93.602668,Mexico,2023
Peniocereus occidentalis,15.810583,-93.753704,Mexico,2023
Peniocereus occidentalis,15.712602,-96.159611,Mexico,2023
Peniocereus occidentalis,16.302059,-93.856568,Mexico,2023
Peniocereus occidentalis,15.907488,-93.734807,Mexico,2023
Peniocereus occidentalis,15.750105,-96.549688,Mexico,2023
Peniocereus occidentalis,15.620014,-96.173767,Mexico,2022
Peniocereus occidentalis,15.752263,-96.070779,Mexico,2022
Peniocereus occidentalis,15.917194,-97.7938,Mexico,2022
Peniocereus occidentalis,15.644337,-96.044197,Mexico,2021
Peniocereus occidentalis,15.665088,-96.36892,Mexico,2021
Peniocereus occidentalis,15.995623,-97.112096,Mexico,2021
Peniocereus occidentalis,15.807737,-97.132096,Mexico,2021
Peniocereus occidentalis,15.882182,-96.127722,Mexico,2020
Peniocereus occidentalis,15.679811,-96.338495,Mexico,2020
Peniocereus occidentalis,15.797204,-96.399804,Mexico,2018
Peniocereus occidentalis,16.804768,-99.849194,Mexico,2009
Peniocereus occidentalis,15.948012,-96.000582,Mexico,2005
Coleocephalocereus diersianus,-20.364368,-40.336379,Brazil,2026
Coleocephalocereus diersianus,-23.920178,-45.343525,Brazil,2026
Coleocephalocereus diersianus,-23.263422,-44.614486,Brazil,2026
