species,lat,lon,country,year
Heosemys annandalii,14.567334,101.225103,Thailand,2026
Heosemys annandalii,14.182892,100.608396,Thailand,2026
Heosemys annandalii,13.619649,100.529818,Thailand,2026
Heosemys annandalii,13.942645,100.524226,Thailand,2026
Heosemys annandalii,13.63624,100.562888,Thailand,2026
Heosemys annandalii,13.993468,100.589612,Thailand,2026
Heosemys annandalii,13.705848,100.736132,Thailand,2026
Heosemys annandalii,13.741833,100.454103,Thailand,2026
Heosemys annandalii,13.99764,100.544282,Thailand,2026
Heosemys annandalii,14.262621,100.562929,Thailand,2026
Heosemys annandalii,13.689161,100.612974,Thailand,2026
Heosemys annandalii,14.199722,100.768763,Thailand,2026
Heosemys annandalii,13.644099,100.42938,Thailand,2026
Heosemys annandalii,13.691056,100.421276,Thailand,2026
Heosemys annandalii,14.416267,101.280443,Thailand,2026
Heosemys annandalii,13.697948,100.770951,Thailand,2026
Heosemys annandalii,13.808868,100.551277,Thailand,2026
Heosemys annandalii,14.36248,100.592034,Thailand,2026
Heosemys annandalii,14.211995,100.548975,Thailand,2026
Heosemys annandalii,13.757831,100.689012,Thailand,2026
Heosemys annandalii,14.58678,101.291892,Thailand,2026
Heosemys annandalii,13.943658,100.560127,Thailand,2026
Heosemys annandalii,14.432562,101.239397,Thailand,2026
Heosemys annandalii,14.516685,101.367255,Thailand,2026
Heosemys annandalii,13.848179,100.416548,Thailand,2026
Heosemys annandalii,14.394988,100.418662,Thailand,2026
Heosemys annandalii,17.886945,101.711136,Thailand,2026
Heosemys annandalii,14.4795,101.338514,Thailand,2026
Heosemys annandalii,13.953688,99.606392,Thailand,2026
Heosemys annandalii,12.768406,102.13738,Thailand,2026
Heosemys annandalii,13.749002,100.246423,Thailand,2026
Heosemys annandalii,13.614623,100.687114,Thailand,2026
Heosemys annandalii,14.774844,100.504917,Thailand,2026
Heosemys annandalii,14.425624,100.860657,Thailand,2026
Heosemys annandalii,14.404673,101.396024,Thailand,2026
Heosemys annandalii,15.962098,108.252005,Viet Nam,2025
Heosemys annandalii,16.197416,108.387599,Viet Nam,2025
Heosemys annandalii,14.301772,100.422683,Thailand,2025
Heosemys annandalii,13.871043,100.425268,Thailand,2025
Heosemys annandalii,14.35424,100.469956,Thailand,2025
Heosemys annandalii,14.919599,100.498491,Thailand,2025
Heosemys annandalii,13.780297,100.490416,Thailand,2025
Heosemys annandalii,12.630601,101.365434,Thailand,2025
Heosemys annandalii,16.164249,108.278232,Viet Nam,2025
Heosemys annandalii,14.018965,100.714154,Thailand,2025
Heosemys annandalii,14.279604,101.471193,Thailand,2025
Heosemys annandalii,22.283036,113.571738,China,2025
Heosemys annandalii,10.386135,103.866686,Viet Nam,2025
Heosemys annandalii,16.282873,102.0292,Thailand,2025
Heosemys annandalii,14.944315,100.923769,Thailand,2025
Heosemys annandalii,16.180826,103.464597,Thailand,2025
Heosemys annandalii,15.007338,102.043363,Thailand,2025
Heosemys annandalii,13.964847,100.435982,Thailand,2025
Heosemys annandalii,14.061537,100.530068,Thailand,2025
Heosemys annandalii,21.118986,105.832409,Viet Nam,2025
Heosemys annandalii,15.459368,103.840872,Thailand,2025
Heosemys annandalii,14.277655,100.548436,Thailand,2025
Heosemys annandalii,13.523673,100.785196,Thailand,2025
Heosemys annandalii,14.491306,101.244479,Thailand,2025
Heosemys annandalii,7.064548,100.506634,Thailand,2025
Heosemys annandalii,13.400842,99.678372,Thailand,2024
Heosemys annandalii,10.944289,106.883832,Viet Nam,2024
Heosemys annandalii,14.388164,101.51997,Thailand,2024
Heosemys annandalii,14.558554,101.380316,Thailand,2024
Heosemys annandalii,13.00602,99.833311,Thailand,2024
Heosemys annandalii,13.684655,100.895058,Thailand,2024
Heosemys annandalii,13.733731,101.099808,Thailand,2024
Heosemys annandalii,28.058432,107.049655,China,2024
Heosemys annandalii,12.645985,101.220307,Thailand,2024
Heosemys annandalii,14.128383,100.662766,Thailand,2024
Heosemys annandalii,14.34621,101.406191,Thailand,2024
Heosemys annandalii,12.943314,99.473061,Thailand,2024
Heosemys annandalii,11.494619,107.594153,Viet Nam,2024
Hubbsina turneri,19.823717,-101.789156,Mexico,2019.0
Hubbsina turneri,19.8744,-101.479519,Mexico,2013.0
Hubbsina turneri,19.406039,-101.601642,Mexico,2007.0
Hubbsina turneri,19.598056,-101.285,Mexico,2005.0
Hubbsina turneri,19.872778,-100.975556,Mexico,2005.0
Hubbsina turneri,19.920833,-101.137778,Mexico,2005.0
Hubbsina turneri,19.490278,-101.463889,Mexico,2003.0
Hubbsina turneri,18.680286,-101.007111,Mexico,1992.0
Hubbsina turneri,19.821944,-100.838889,Mexico,1992.0
Hubbsina turneri,19.958039,-100.899592,Mexico,1991.0
Hubbsina turneri,19.739028,-101.132972,Mexico,1980.0
Hubbsina turneri,19.880461,-100.871028,Mexico,1979.0
Hubbsina turneri,20.086019,-101.154617,Mexico,1979.0
Hubbsina turneri,19.966667,-100.083333,Mexico,1976.0
Hubbsina turneri,19.905278,-101.315833,Mexico,1973.0
Hubbsina turneri,20.3,-101.25,Mexico,1969.0
Hubbsina turneri,19.966667,-101.083333,Mexico,1969.0
Hubbsina turneri,19.75,-101.2,Mexico,1969.0
Hubbsina turneri,20.058889,-101.137222,Mexico,1963.0
Hubbsina turneri,19.660556,-101.278889,Mexico,1963.0
Hubbsina turneri,19.962778,-101.188611,Mexico,1957.0
Hubbsina turneri,19.6125,-101.221111,Mexico,1945.0
Indotestudo forstenii,-1.512589,121.461771,Indonesia,2025
Indotestudo forstenii,-1.530447,121.438288,Indonesia,2025
Indotestudo forstenii,23.36,93.0,India,2012
Indotestudo forstenii,23.43,92.43,India,2009
Pangshura sylhetensis,26.467525,92.883719,India,2026
Pangshura sylhetensis,26.764557,93.216844,India,2026
Pangshura sylhetensis,26.729356,93.289977,India,2025
Pangshura sylhetensis,26.715223,93.394295,India,2025
Pangshura sylhetensis,26.798588,93.392571,India,2025
Pangshura sylhetensis,26.651314,93.23231,India,2025
Pangshura sylhetensis,26.619547,93.203856,India,2024
Pangshura sylhetensis,26.376271,91.825022,India,2024
Pangshura sylhetensis,26.525281,92.993808,India,2024
Pangshura sylhetensis,26.54246,93.092636,India,2024
Pangshura sylhetensis,26.633394,93.357797,India,2024
Pangshura sylhetensis,26.620236,93.266218,India,2024
Pangshura sylhetensis,26.877788,94.250104,India,2024
Pangshura sylhetensis,27.041234,94.587597,India,2024
Pangshura sylhetensis,26.53828,92.818445,India,2023
Pangshura sylhetensis,26.19689,92.737917,India,2023
Pangshura sylhetensis,26.415256,93.370183,India,2023
Pangshura sylhetensis,26.556971,92.904455,India,2022
Pangshura sylhetensis,26.972576,93.515133,India,2022
Pangshura sylhetensis,26.03634,92.797148,India,2021
Pangshura sylhetensis,26.556815,92.327902,India,2020
Pangshura sylhetensis,26.784441,93.491241,India,2020
Pangshura sylhetensis,26.729164,93.556073,India,2020
Pangshura sylhetensis,26.1706,91.6792,India,2020
Pangshura sylhetensis,26.924287,92.827413,India,2019
Pangshura sylhetensis,26.498229,92.677574,India,2018
Pangshura sylhetensis,27.5,96.24,India,2018
Pangshura sylhetensis,26.7267,93.1479,India,2017
Pangshura sylhetensis,27.654338,95.364075,India,2016
Pangshura sylhetensis,26.783679,92.940869,India,2016
Pangshura sylhetensis,21.393527,92.609649,Bangladesh,2015
Pangshura sylhetensis,26.425004,93.163025,India,2014
Pangshura sylhetensis,26.417859,93.114021,India,2014
Pangshura sylhetensis,26.559469,93.104962,India,2014
Pangshura sylhetensis,26.439929,92.965762,India,2014
Pangshura sylhetensis,26.086087,92.638092,India,2014
Pangshura sylhetensis,26.932489,92.877664,India,2013
Pangshura sylhetensis,26.737705,93.511439,India,2011
Pangshura sylhetensis,23.5,91.25,India,2011
Pangshura sylhetensis,26.618341,93.464928,India,2009
Ameca splendens,20.430062,-103.311707,Mexico,2025.0
Ameca splendens,20.587762,-103.337364,Mexico,2023.0
Ameca splendens,20.677649,-103.843834,Mexico,2023.0
Ameca splendens,20.771147,-103.897764,Mexico,2013.0
Ameca splendens,19.958647,-103.517064,Mexico,2010.0
Ameca splendens,20.901089,-104.079167,Mexico,2010.0
Ameca splendens,20.823239,-104.119567,Mexico,2008.0
