species,common_name,habitat,habitat_specialization,distribution,is_endemic,diet,trophic_level,size_cm,weight_kg,reproduction_rate,conservation_status,population_trend,threats,key_facts
Phocarctos hookeri,New Zealand sea lion,"['subantarctic islands', 'coastal beaches', 'tall grasses', 'forests', 'mainland New Zealand']",specialist,"['New Zealand', 'Auckland Islands', 'Campbell Islands', 'South Island coast', 'Stewart Island']",True,"fish, rays, sharks, cephalopods, crustaceans, seabirds, marine mammals, new zealand fur seals",carnivore,350.0,450.0,low,endangered,decreasing,"['subsistence hunting', 'commercial sealing', 'commercial fishery bycatch', 'food limitation', 'disease', 'human conflict', 'roadkill', 'harassment', 'domestic dogs']","One of the world's rarest sea lion species, endemic to New Zealand with main breeding populations on subantarctic islands. Shows unique inland terrestrial behavior among pinnipeds. Population declined ~50% between 2000 and 2015 mainly due to bycatch, disease, and food limitation. Conservation status improved to Nationally Vulnerable in New Zealand but remains Endangered globally."
Burramys parvus,mountain pygmy possum,"['dense alpine rock screes', 'boulder fields', 'alpine regions of southern Australia', 'deep boulderfields in alpine regions']",specialist,"['southern Victoria, Australia', 'Mount Kosciuszko in Kosciuszko National Park, New South Wales, Australia', 'Mount Blue Cow in Kosciuszko National Park, New South Wales, Australia', 'Mount Bogong and Mount Higginbotham/Loch in the Bogong High Plains, Victoria, Australia', 'Mount Buller, Victoria, Australia']",True,"insects (especially bogong moths), fleshy fruits, nuts, nectar, seeds",primary consumer,11.0,0.045,low,critically endangered,decreasing,"['habitat destruction and fragmentation', 'climate change', 'predation by feral cats', 'predation by red foxes', 'decline of bogong moth populations', 'ski resort construction', 'barriers to male migration during breeding season']","The mountain pygmy possum is the only Australian mammal restricted to alpine habitat, hibernates for up to seven months, relies heavily on bogong moths for energy, has three isolated genetically distinct populations, and faces severe threats from habitat loss, climate change, predation, and food source decline."
Canis simensis,Ethiopian wolf,"['Afroalpine grasslands', 'Afroalpine heathlands', 'Montane grasslands', 'Tussock grasslands', 'High-altitude scrubs', 'Ericaceous moorlands']",specialist,"['Ethiopian Highlands', 'Simien Mountains', 'Bale Mountains', 'Arsi Mountains', 'Northern and southern Wollo highlands', 'Guassa Menz in north Shoa']",True,"highly specialized feeder on afroalpine rodents including big-headed african mole-rats, grass rats, black-clawed brush-furred rats, highland hares, and occasionally goslings, eggs, rock hyraxes, mountain nyala calves, and reedbuck calves",carnivore,92.65,15.5,low,endangered,stable,"['habitat loss and fragmentation', 'disease (rabies, canine distemper)', 'human persecution', 'hybridization with dogs', 'competition with African golden wolves', 'road kills', 'overgrazing', 'encroachment within protected areas']","The Ethiopian wolf is Africa's most endangered carnivore and the world's rarest canid, restricted to isolated Afroalpine habitats above 3000 m. It is a highly specialized rodent hunter with a small fragmented population estimated at 360-440 adults. Conservation efforts include vaccination campaigns, hybrid sterilization, community education, and habitat protection."
Sarcophilus harrisii,Tasmanian devil,"['dry sclerophyll forests', 'coastal woodlands', 'open forest', 'coastal heaths', 'mixed sclerophyll forests', 'outskirts of urban areas']",generalist,"['Tasmania', 'Robbins Island', 'Barrington Tops area, New South Wales (reintroduced sanctuary)']",True,"opportunistic carnivore and scavenger; eats carrion, small native mammals, birds, insects, reptiles, domestic mammals, fruit, vegetable matter",carnivore,65.2,8.0,high,endangered,decreasing,"['devil facial tumour disease (DFTD)', 'road mortality', 'habitat disturbance', 'inbreeding depression', 'historical hunting and culling', 'chemical pollutants']",Largest surviving carnivorous marsupial; powerful bite; solitary but eats communally; low genetic diversity; population declined over 80% since 1990s due to DFTD; protected since 1941; reintroduction programs ongoing; capable of climbing and swimming; lifespan up to 5 years in wild; high reproductive output with up to 20-30 young per litter but only 4 survive due to limited nipples.
Nilgiritragus hylocrius,Nilgiri tahr,"['high-altitude grasslands', 'shola forests', 'rocky cliffs', 'open plateaus', 'montane rain forests']",specialist,"['Nilgiri Hills', 'Anamalai Hills', 'Western Ghats', 'Tamil Nadu', 'Kerala', 'India']",True,herbivore (grass and small shrubs),primary consumer,100.0,90.0,medium,endangered,increasing,"['habitat loss', 'invasive species', 'livestock grazing', 'poaching', 'habitat fragmentation']","Endemic mountain goat species in southern Western Ghats, agile climber, population increased from a few hundred in late 20th century to over 2600 in 2025 due to conservation efforts."
Alouatta pigra,Yucatán black howler,"['evergreen forest', 'semideciduous forest', 'lowland rain forest']",specialist,"['Belize', 'Guatemala', 'Mexico']",False,"folivorous (mostly leaves), fruit, flowers",herbivore,52.1,11.4,low,endangered,decreasing,"['habitat loss', 'hunting', 'capture as pets']","Largest howler monkey species; males weigh 11.4 kg, females 6.4 kg; diurnal and arboreal; groups of 2-10 members; diet mostly leaves and fruit; males mature at 6-8 years, females at 4 years; lifespan up to 20 years; population expected to decline by up to 60% in 30 years."
Ateles hybridus,brown spider monkey,"['forests', 'primary forests', 'inter-Andean forest']",specialist,"['northern Colombia', 'northwestern Venezuela']",False,"mainly herbivorous and frugivorous, primarily lipid-rich ripe fruits, leaves, seeds, flowers, bark, honey, decaying wood, and occasionally insects",primary consumer,52.5,8.3,low,critically endangered,decreasing,"['habitat fragmentation', 'habitat loss', 'logging', 'land clearance for agriculture', 'cattle ranches', 'hunting', 'wild animal trade', 'capture for pet trade']","The brown spider monkey has a prehensile tail acting as a fifth limb, lacks thumbs, and has pale blue eyes in some individuals. It lives in small groups, travels by swinging and climbing, and has a low reproductive rate with births every 2-3 years. Population has decreased by at least 80%, with about 3,000 individuals remaining. Conservation efforts include habitat corridors and protected areas."
Leontopithecus chrysopygus,black lion tamarin,"['secondary forest', 'primary forest', 'dryland forest', 'swampy environment']",specialist,"['São Paulo, Brazil']",True,"omnivore (fruits, gum, insects, spiders)",primary and secondary consumer,19.036,0.3,medium,endangered,decreasing,"['habitat destruction', 'deforestation', 'hunting']","Rarest New World monkey with limited range in São Paulo, Brazil; rediscovered in 1970 after presumed extinct; lives in groups of 4-9; diet varies seasonally and by habitat; monogamous with occasional polyandry; population declining due to habitat loss and hunting."
Saimiri vanzolinii,Black squirrel monkey,"['várzea forest', 'Mamirauá Sustainable Development Reserve']",specialist,['Brazil'],True,"omnivorous (fruit, insects, leaves, flowers, seeds, eggs, small vertebrates)",omnivore,27.0,0.64,medium,endangered,decreasing,"['limited range', 'habitat flooding', 'climate change', 'predation by snakes, raptors, jaguars']","Small New World primate endemic to central Amazon Brazil with one of the most restricted geographical distributions for a primate. Lives in large social groups, uses group size to resist predators. Breeding season September to November with pregnancy lasting 140-170 days. Positive economic impact through biomedical research and pet trade."
Saimiri oerstedii,Central American squirrel monkey,"['lowland forests', 'secondary forests', 'partially logged primary forests', 'coastal lowland forest']",specialist,"['Costa Rica', 'Panama']",True,"omnivorous, including fruits, plant materials, insects, spiders, small vertebrates (bats, birds, lizards, tree frogs), nectar, leaves, bark, flowers",omnivore,26.6,0.829,medium,endangered,decreasing,"['deforestation', 'hunting', 'capture for pet trade']","Lives in groups of 20-75 individuals with egalitarian social structure; restricted to Pacific coast of Costa Rica and Panama; population declined from ~200,000 in 1970s to less than 5,000; important seed disperser and pollinator; lifespan over 15 years in captivity; females mature at 2.5 years, males at 4-5 years."
